description,industry,level,size,line_code,value
Operación DG,Retail,3,Pequeña,STU123,1850
Operación DH,Salud,1,Grande,VWX456,4900
Operación DI,Manufactura,2,Mediana,YZA789,2450
Operación DJ,Tecnología,3,Pequeña,BCD012,1650
Operación DK,Retail,1,Grande,EFG345,4600
Operación DL,Salud,2,Mediana,HIJ678,2850
Operación DM,Manufactura,3,Pequeña,KLM901,2150
Operación DN,Tecnología,1,Grande,NOP234,4100
Operación DO,Retail,2,Mediana,QRS567,2350
Operación DP,Salud,3,Pequeña,TUV890,1450
Operación DQ,Manufactura,1,Grande,WXY123,4400
Operación DR,Tecnología,2,Mediana,ZAB456,2950
Operación DS,Retail,3,Pequeña,CDE789,1950
Operación DT,Salud,1,Grande,FGH012,5000
Operación DU,Manufactura,2,Mediana,IJK345,2550
Operación DV,Tecnología,3,Pequeña,LMN678,1750
Operación DW,Retail,1,Grande,OPQ901,4700
Operación DX,Salud,2,Mediana,RST234,2650
Operación DY,Manufactura,3,Pequeña,UVW567,2050
Operación DZ,Tecnología,1,Grande,XYZ890,4200
